---TranskribusBaseLineEvaluationScheme--- 

Evaluation performed on 2019.04.24 at 06:45:12 
Evaluation performed for GT truths.lst
Evaluation performed for HYPO predicts.lst
Number of pages: 142

Loading protocol: 
   Everything loaded without errors.

142 out of 142 GT-HYPO pairs loaded without errors and used for evaluation.

Number of groundtruth lines: 3828
Number of hypothesis lines: 4365

Pagewise evaluation :
#P value, #R value, #F_1 value, #TruthFileName, #HypoFileName
    0.8302,     0.9060,     0.8665, truths/00000037-2.jpg.txt, predicts/00000037-2.txt
    0.8804,     0.9286,     0.9038, truths/00000075.jpg.txt, predicts/00000075.txt
    0.7971,     0.9073,     0.8487, truths/00000041-1.jpg.txt, predicts/00000041-1.txt
    0.9047,     0.8872,     0.8959, truths/00000001-14.jpg.txt, predicts/00000001-14.txt
    0.8840,     0.9701,     0.9250, truths/00000001-8.jpg.txt, predicts/00000001-8.txt
    0.7557,     0.9678,     0.8487, truths/00000183.jpg.txt, predicts/00000183.txt
    0.8793,     0.9770,     0.9256, truths/00000020.jpg.txt, predicts/00000020.txt
    0.8080,     0.8888,     0.8465, truths/00000171-1.jpg.txt, predicts/00000171-1.txt
    0.9493,     0.9965,     0.9723, truths/00000160-1.jpg.txt, predicts/00000160-1.txt
    0.8561,     0.9223,     0.8880, truths/00000037-3.jpg.txt, predicts/00000037-3.txt
    0.3873,     0.9452,     0.5495, truths/00000135.jpg.txt, predicts/00000135.txt
    0.8803,     0.9513,     0.9144, truths/00000002-5.jpg.txt, predicts/00000002-5.txt
    0.9384,     0.9314,     0.9349, truths/00000037-1.jpg.txt, predicts/00000037-1.txt
    0.7523,     0.9248,     0.8296, truths/00000040-3.jpg.txt, predicts/00000040-3.txt
    0.7652,     0.6486,     0.7021, truths/00000141.jpg.txt, predicts/00000141.txt
    0.8481,     0.8881,     0.8677, truths/00000001-13.jpg.txt, predicts/00000001-13.txt
    0.9600,     0.8851,     0.9210, truths/00000076.jpg.txt, predicts/00000076.txt
    0.7556,     0.9361,     0.8362, truths/00000117.jpg.txt, predicts/00000117.txt
    0.8209,     0.9270,     0.8707, truths/00000144.jpg.txt, predicts/00000144.txt
    0.6053,     0.8531,     0.7081, truths/00000017-5.jpg.txt, predicts/00000017-5.txt
    0.4269,     0.9268,     0.5845, truths/00000174.jpg.txt, predicts/00000174.txt
    0.8321,     0.9213,     0.8744, truths/00000002-8.jpg.txt, predicts/00000002-8.txt
    0.8407,     0.8599,     0.8502, truths/00000034-1.jpg.txt, predicts/00000034-1.txt
    0.8804,     0.9951,     0.9343, truths/00000121.jpg.txt, predicts/00000121.txt
    0.4632,     0.9076,     0.6134, truths/00000160.jpg.txt, predicts/00000160.txt
    0.8062,     0.9936,     0.8901, truths/00000083.jpg.txt, predicts/00000083.txt
    0.6601,     0.8845,     0.7560, truths/00000037-4.jpg.txt, predicts/00000037-4.txt
    0.9604,     0.9959,     0.9778, truths/00000118-1.jpg.txt, predicts/00000118-1.txt
    0.5225,     0.8992,     0.6609, truths/00000028.jpg.txt, predicts/00000028.txt
    0.2885,     0.9226,     0.4395, truths/00000023.jpg.txt, predicts/00000023.txt
    0.9223,     0.8901,     0.9059, truths/00000103.jpg.txt, predicts/00000103.txt
    0.8170,     0.9979,     0.8985, truths/00000125.jpg.txt, predicts/00000125.txt
    0.9043,     0.9076,     0.9059, truths/00000092.jpg.txt, predicts/00000092.txt
    0.7728,     0.8961,     0.8299, truths/00000001-5.jpg.txt, predicts/00000001-5.txt
    0.8871,     0.8462,     0.8662, truths/00000001-3.jpg.txt, predicts/00000001-3.txt
    0.9451,     0.6620,     0.7786, truths/00000027-3.jpg.txt, predicts/00000027-3.txt
    0.8452,     0.9607,     0.8993, truths/00000195.jpg.txt, predicts/00000195.txt
    0.7241,     0.9556,     0.8239, truths/00000040-2.jpg.txt, predicts/00000040-2.txt
    0.7762,     0.9281,     0.8454, truths/00000084-2.jpg.txt, predicts/00000084-2.txt
